EVAL_GRP,grp_by_attrib,estimate,se_of_estimate_pct,se_of_estimate,var_of_estimate,total_plots,non_zero_plots,tot_pop_ac
372017,37,45303041847.00128,1.2601274813725927,570876080.2117889,3.258994989579768e+17,5739,3474,34444093.699999996
472017,47,36116956020.432816,1.2710364494692312,459059675.45847297,2.1073578563203853e+17,4694,2883,26971848.06
512017,51,42794252599.96159,1.1939833511578366,510956251.2959711,2.6107629073843158e+17,4800,3190,27375850.890000004
